'Board'	'Thread Number'	'Post Number'	'Comment'	'Post URL'	'Added at'
'biz'	'55001744'	'55009092'	'<a href=""#p55008488"" class=""quotelink"">>>55008488</a><br>The airdrop gonna be massive and snapshot of the qualifying activities is yet to be taken yet.'	'https://boards.4channel.org/biz/thread/55001744#p55009092'	'2023-05-19T12:08:11.962556700'
'biz'	'55001744'	'55011185'	'<a href=""#p55010634"" class=""quotelink"">>>55010634</a><br>And there"'s possible airdrop for those participating in its ongoing community board quiz on Zealy'	'https://boards.4channel.org/biz/thread/55001744#p55011185'	'2023-05-19T12:08:11.962556700'
'biz'	'55019092'	'55019518'	'<a href=""#p55019092"" class=""quotelink"">>>55019092</a><br>I hold 148k grt which I got in an airdrop for being an early tester of grt lol. Reggie not sell at $3 but I know it will go to $6 next bulla so I"'m good.'	'https://boards.4channel.org/biz/thread/55019092#p55019518'	'2023-05-19T12:08:11.962556700'
'biz'	'55003496'	'55003874'	'<a href=""#p55003496"" class=""quotelink"">>>55003496</a><br>PartyKartsToken, 80k mcap, zero airdrops and no presale. Dev is /biz/raeli and active on telegram<br>tg partykartsio'	'https://boards.4channel.org/biz/thread/55003496#p55003874'	'2023-05-19T12:08:11.962556700'
'biz'	'54991513'	'54998634'	'XCORE is going to explode. How do I know this? Because I sold my airdrop. Also, checkem.'	'https://boards.4channel.org/biz/thread/54991513#p54998634'	'2023-05-19T12:08:11.962556700'
'biz'	'54991513'	'55017921'	'<a href=""#p55017796"" class=""quotelink"">>>55017796</a><br>If ripple wins and xrp goes ho, flr has good chances to increase in the price too, but yeah, I probably spend 4000 on this shit and with all these airdrops I’m even at best.'	'https://boards.4channel.org/biz/thread/54991513#p55017921'	'2023-05-19T12:08:11.962556700'
'biz'	'55019092'	'55019518'	'<a href=""#p55019092"" class=""quotelink"">>>55019092</a><br>I hold 148k grt which I got in an airdrop for being an early tester of grt lol. Reggie not sell at $3 but I know it will go to $6 next bulla so I"'m good.'	'https://boards.4channel.org/biz/thread/55019092#p55019518'	'2023-05-19T12:58:11.590722800'
'biz'	'55003496'	'55020350'	'<a href=""#p55003496"" class=""quotelink"">>>55003496</a><br>There"'s possible airdrop for those participating in the ongoing community board quiz on Zealy, don"'t be left out of this goodie bag.'	'https://boards.4channel.org/biz/thread/55003496#p55020350'	'2023-05-19T13:48:10.717972400'
'biz'	'55019092'	'55019518'	'<a href=""#p55019092"" class=""quotelink"">>>55019092</a><br>I hold 148k grt which I got in an airdrop for being an early tester of grt lol. Reggie not sell at $3 but I know it will go to $6 next bulla so I"'m good.'	'https://boards.4channel.org/biz/thread/55019092#p55019518'	'2023-05-19T13:48:10.717972400'
'biz'	'55014937'	'55020856'	'<a href=""#p55020842"" class=""quotelink"">>>55020842</a><br>it"'s people buying small amounts so they bridge it to goerli and use it for testing their dApps/farming airdrops.<br>you buy $3 and get 29 GETH, that"'s enough for thousands of transactions on the network when people aren"'t sybiling airdrops on it.'	'https://boards.4channel.org/biz/thread/55014937#p55020856'	'2023-05-19T14:38:17.558402900'
'biz'	'55012577'	'55020574'	'<a href=""#p55019263"" class=""quotelink"">>>55019263</a><br>I think they really need help and zealy contest via the ongoing airdrop is the way out. What a great way to start a new life in crypto.'	'https://boards.4channel.org/biz/thread/55012577#p55020574'	'2023-05-19T14:38:17.558402900'
'biz'	'55003496'	'55020350'	'<a href=""#p55003496"" class=""quotelink"">>>55003496</a><br>There"'s possible airdrop for those participating in the ongoing community board quiz on Zealy, don"'t be left out of this goodie bag.'	'https://boards.4channel.org/biz/thread/55003496#p55020350'	'2023-05-19T14:38:17.558402900'
'biz'	'55018670'	'55021156'	'<a href=""#p55021112"" class=""quotelink"">>>55021112</a><br>why even waste your time here then lol just go back in 5 years <br><br>I on the other hand want to continue farming airdrops and outperform the entire market by buying and selling ugly jpegs thanks'	'https://boards.4channel.org/biz/thread/55018670#p55021156'	'2023-05-19T15:28:10.663687700'
'biz'	'55014937'	'55020856'	'<a href=""#p55020842"" class=""quotelink"">>>55020842</a><br>it"'s people buying small amounts so they bridge it to goerli and use it for testing their dApps/farming airdrops.<br>you buy $3 and get 29 GETH, that"'s enough for thousands of transactions on the network when people aren"'t sybiling airdrops on it.'	'https://boards.4channel.org/biz/thread/55014937#p55020856'	'2023-05-19T15:28:10.663687700'
'biz'	'55012577'	'55020574'	'<a href=""#p55019263"" class=""quotelink"">>>55019263</a><br>I think they really need help and zealy contest via the ongoing airdrop is the way out. What a great way to start a new life in crypto.'	'https://boards.4channel.org/biz/thread/55012577#p55020574'	'2023-05-19T15:28:10.663687700'
'biz'	'55003496'	'55020350'	'<a href=""#p55003496"" class=""quotelink"">>>55003496</a><br>There"'s possible airdrop for those participating in the ongoing community board quiz on Zealy, don"'t be left out of this goodie bag.'	'https://boards.4channel.org/biz/thread/55003496#p55020350'	'2023-05-19T15:28:10.663687700'
'biz'	'55002526'	'55021762'	'<a href=""#p55002526"" class=""quotelink"">>>55002526</a><br>Life"'s a tough grind, but don"'t let it drain ya, bro. Start off easy with some sick airdrops or build a solid portfolio like MNI, HBAR, ZIL, GALA, and more. Don"'t be a clueless moron, prioritize those coins with solid utilities and make those gains rain fag.'	'https://boards.4channel.org/biz/thread/55002526#p55021762'	'2023-05-19T17:37:56.179640900'
'biz'	'55018670'	'55021156'	'<a href=""#p55021112"" class=""quotelink"">>>55021112</a><br>why even waste your time here then lol just go back in 5 years <br><br>I on the other hand want to continue farming airdrops and outperform the entire market by buying and selling ugly jpegs thanks'	'https://boards.4channel.org/biz/thread/55018670#p55021156'	'2023-05-19T17:37:56.179640900'
'biz'	'55002526'	'55021762'	'<a href=""#p55002526"" class=""quotelink"">>>55002526</a><br>Life"'s a tough grind, but don"'t let it drain ya, bro. Start off easy with some sick airdrops or build a solid portfolio like MNI, HBAR, ZIL, GALA, and more. Don"'t be a clueless moron, prioritize those coins with solid utilities and make those gains rain fag.'	'https://boards.4channel.org/biz/thread/55002526#p55021762'	'2023-05-19T17:38:40.382000500'
'biz'	'55018670'	'55021156'	'<a href=""#p55021112"" class=""quotelink"">>>55021112</a><br>why even waste your time here then lol just go back in 5 years <br><br>I on the other hand want to continue farming airdrops and outperform the entire market by buying and selling ugly jpegs thanks'	'https://boards.4channel.org/biz/thread/55018670#p55021156'	'2023-05-19T17:38:40.382000500'
'biz'	'55021973'	'55023885'	'<a href=""#p55021973"" class=""quotelink"">>>55021973</a><br><span class=""quote"">&gt;no website</span><br><span class=""quote"">&gt;shady ico/airdrop</span><br><span class=""quote"">&gt;dev holds 95% of supply</span><br>who could have seen this coming?<br>Honestly you could tell it was a scam by his Twitter. Numerous people were calling it a scam and Ben never responded just kept stealing people’s ETH'	'https://boards.4channel.org/biz/thread/55021973#p55023885'	'2023-05-19T19:38:10.387362'
'biz'	'55023372'	'55024503'	'<a href=""#p55023372"" class=""quotelink"">>>55023372</a><br><span class=""quote"">&gt;they didn"'t do an airdrop so the jeets are mad </span><br><span class=""quote"">&gt;it was still so under the radar people barely heard about it</span><br><span class=""quote"">&gt;mcap is already too high</span><br><span class=""quote"">&gt;inflated bullshit</span><br>so it was a marketing disaster. might see a 10x, maybe a blow off top even higher. but then again why take the risk when ETH will see a 10-15x.'	'https://boards.4channel.org/biz/thread/55023372#p55024503'	'2023-05-19T20:28:08.852909900'
'biz'	'55023415'	'55024828'	'<a href=""#p55024735"" class=""quotelink"">>>55024735</a><br>spiritswap is about to release their concentrated liquidity pools which should bring a good bit of interest from people, hopefully itll pull some people back in. There is also the expansion project that they are about to do and locking their token entitles you to an airdrop of it when it launches.'	'https://boards.4channel.org/biz/thread/55023415#p55024828'	'2023-05-19T21:18:05.686183300'
'biz'	'55023372'	'55024503'	'<a href=""#p55023372"" class=""quotelink"">>>55023372</a><br><span class=""quote"">&gt;they didn"'t do an airdrop so the jeets are mad </span><br><span class=""quote"">&gt;it was still so under the radar people barely heard about it</span><br><span class=""quote"">&gt;mcap is already too high</span><br><span class=""quote"">&gt;inflated bullshit</span><br>so it was a marketing disaster. might see a 10x, maybe a blow off top even higher. but then again why take the risk when ETH will see a 10-15x.'	'https://boards.4channel.org/biz/thread/55023372#p55024503'	'2023-05-19T21:18:05.686183300'
'biz'	'55046064'	'55048886'	'<a href=""#p55048868"" class=""quotelink"">>>55048868</a><br>I"'ll give you a hint:<br><span class=""quote"">&gt;I got my bags airdropped</span>'	'https://boards.4channel.org/biz/thread/55046064#p55048886'	'2023-05-22T14:04:25.682787'
'biz'	'55049428'	'55049478'	'<a href=""#p55049428"" class=""quotelink"">>>55049428</a><br>ZkDoge had a small pump but will probably come down again. I think with the amount of airdrop farming in anticipation of ZkSync token it could be a nice gamble when we eventually enter bull market again.'	'https://boards.4channel.org/biz/thread/55049428#p55049478'	'2023-05-22T14:04:25.682787'
'biz'	'55044050'	'55048537'	'OP here. My bait thread did well. I actually bought that apartment for 320k, now it"'s worth 500k. 180k profit in one year without any tax even if I sell now, since there is no property profit tax in my cunt.<br><br>I bought gold when 1 gram gold was 53 usd, now it"'s 64 usd. I made 40k profit from gold and I believe I will make more because gold is cheap as fuck, and again no tax for gold gains. That"'s why I like buying and selling gold.<br><br>ETF: I bought the best dividend ETF on the market but no capital gains yet.<br>Crypto: I"'m a BNB investor and actually I make great money from launchpads and launchpools since 2019. Last month I made 10k from just from selling those airdrop coins. Plus I have another crypto income source that not gonna share here but that"'s my main income and it"'s all passive and that"'s how I made my million, not from buying and selling. So I"'m not poor, not even close.<br><br>Thank you for posts. See you next time.'	'https://boards.4channel.org/biz/thread/55044050#p55048537'	'2023-05-22T14:04:25.682787'
'biz'	'55047485'	'55047819'	'<a href=""#p55047602"" class=""quotelink"">>>55047602</a><br>nigga nobody is shilling this shit. everyones just waiting to dump their airdrop the second we start pumping. and if we dont start pumping before tokens start unlocking oh boy.'	'https://boards.4channel.org/biz/thread/55047485#p55047819'	'2023-05-22T14:04:25.682787'
'biz'	'55049428'	'55049478'	'<a href=""#p55049428"" class=""quotelink"">>>55049428</a><br>ZkDoge had a small pump but will probably come down again. I think with the amount of airdrop farming in anticipation of ZkSync token it could be a nice gamble when we eventually enter bull market again.'	'https://boards.4channel.org/biz/thread/55049428#p55049478'	'2023-05-22T14:54:24.504101400'
'biz'	'55046064'	'55048886'	'<a href=""#p55048868"" class=""quotelink"">>>55048868</a><br>I"'ll give you a hint:<br><span class=""quote"">&gt;I got my bags airdropped</span>'	'https://boards.4channel.org/biz/thread/55046064#p55048886'	'2023-05-22T14:54:24.504101400'
